13:58:49.442;Open_Page Execution_Time(ms):; 1920; Page_URL:; http://10.66.131.170:1441/;
13:58:49.492;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.522;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.562;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.587;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.646;Wait_For_Page_Update Execution_Time(ms):; 9; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.651;Send_Keys Execution_Time(ms):; 184; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.664;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.700;Find_Element Execution_Time(ms):; 26; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.740;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.775;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.840;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.844;Send_Keys Execution_Time(ms):; 189; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.858;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.879;Find_Element Execution_Time(ms):; 16; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.927;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.947;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 79; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:49.967;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:50.012;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:50.016;Click Execution_Time(ms):; 167; Page_URL:; http://10.66.131.170:1441/#!/login;
13:58:50.425;Wait_For_Page_Update Execution_Time(ms):; 12; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:50.448;Find_Element Execution_Time(ms):; 14; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:51.004;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:51.576;Find_Element Execution_Time(ms):; 37; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:52.127;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:52.672;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:53.222;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:53.780;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:54.300;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:54.859;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:55.392;Find_Element Execution_Time(ms):; 21; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:55.968;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:56.519;Find_Element Execution_Time(ms):; 40; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:57.070;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:57.629;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:57.669;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:57.679;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7244; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:58.064;Click Execution_Time(ms):; 7659; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:58.870;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:58.940;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:58.980;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.020;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.050;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 100; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.070;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.144;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.150;Click Execution_Time(ms):; 234; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.202;Find_Element Execution_Time(ms):; 41; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.232;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.272;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.318;Wait_For_Page_Update Execution_Time(ms):; 3; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.322;Click Execution_Time(ms):; 116; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.996;Open_Page Execution_Time(ms):; 670; Page_URL:; http://10.66.131.170:1441/;
13:59:00.026;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.046;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.086;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.133;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.180;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
