16:14:39.906;Open_Page Execution_Time(ms):; 1966; Page_URL:; http://10.66.131.170:1441/;
16:14:39.956;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:39.986;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.026;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.051;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.108;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.112;Send_Keys Execution_Time(ms):; 182; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.125;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.168;Find_Element Execution_Time(ms):; 32; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.208;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.236;Find_Element Execution_Time(ms):; 4; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.288;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.293;Send_Keys Execution_Time(ms):; 174; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.305;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.327;Find_Element Execution_Time(ms):; 13; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.371;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.376;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 67; Page_URL:; http://10.66.131.170:1441/#!/login;
16:14:40.411;Find_Element Execution_Time(ms):; 25; Page_URL:; http://10.66.131.170:1441/#!/login;
