20:34:41.434;Open_Page Execution_Time(ms):; 1986; Page_URL:; http://localhost:8081/#!/login;
20:34:41.476;Wait_For_Page_Update Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/login;
20:34:41.506;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
20:34:41.546;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:34:41.571;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
20:34:41.626;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
20:34:41.772;Send_Keys Execution_Time(ms):; 313; Page_URL:; http://localhost:8081/#!/login;
20:34:41.802;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
20:34:41.833;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
20:34:41.884;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:34:41.909;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
20:34:41.967;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
20:34:41.973;Send_Keys Execution_Time(ms):; 195; Page_URL:; http://localhost:8081/#!/login;
20:34:41.984;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
20:34:42.027;Find_Element Execution_Time(ms):; 22; Page_URL:; http://localhost:8081/#!/login;
20:34:42.067;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:34:42.087;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 93; Page_URL:; http://localhost:8081/#!/login;
20:34:42.107;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:34:42.255;Wait_For_Page_Update Execution_Time(ms):; 91; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:42.259;Click Execution_Time(ms):; 282; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:42.765;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:42.795;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:43.335;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:43.885;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:44.403;Find_Element Execution_Time(ms):; 26; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:44.953;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:45.497;Find_Element Execution_Time(ms):; 41; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:46.037;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:46.531;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:47.048;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:47.573;Find_Element Execution_Time(ms):; 18; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:48.139;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:48.696;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:49.246;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:49.812;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:49.872;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:49.902;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7107; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.271;Click Execution_Time(ms):; 7526; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.698;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.728;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.788;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 50; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.846;Wait_For_Page_Update Execution_Time(ms):; 11; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.851;Click Execution_Time(ms):; 149; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.873;Find_Element Execution_Time(ms):; 17; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.887;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.935;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 38; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.975;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
20:34:50.979;Click Execution_Time(ms):; 102; Page_URL:; http://localhost:8081/#!/dashboard;
